Omega,Rarea,Ra,Rz,Ra_pdz,Rz_pdz,CGrits,FnSteady,FtSteady,MaxStress,MeanStress,Cutting,Plughing,Rubbing,Inactive,Cutting/%,Plughing/%,Rubbing/%,Inactive/%
15,0.4,0.00318395922750349,0.13165778730422,4.16260424802302,38.2409487496582,1000,19.8761413334968,8.36189939641811,20.7313409763562,2.34709188046898,398,1835,112.666666666667,1537,0.10250508362735,0.472621212489581,0.0290131523437774,0.395860551539292
25,0.4,0.00317269832567909,0.121132817696922,4.19816497902606,39.4342661525874,999.333333333333,19.6677288857648,8.22682666716763,20.2310148370423,2.31574416924711,388.666666666667,1843.66666666667,116.333333333333,1531.33333333333,0.100172763066352,0.475168360599131,0.0299803748729419,0.394678501461574
3,0.6,0.00380874860981859,0.139457096401842,4.26859423635353,40.9730095845286,1000,25.0061418576663,10.6602831606856,20.4079643425181,2.3155804688475,447.333333333333,1762,111.666666666667,1554.33333333333,0.115457326193583,0.4546451606067,0.0288169851451273,0.401080528387923
5,0.6,0.00235730879812619,0.099428260187437,4.41927335755194,40.1430717148253,1000,21.3357120932009,8.92275888328779,20.8642361725759,2.35474249165961,280.666666666667,1933.33333333333,126.666666666667,1530.33333333333,0.0725072935709231,0.499428339812816,0.0327260586084421,0.395338308007819
7,0.6,0.00216783093064838,0.128311890668321,4.48670000251256,40.4799498470981,999.666666666667,20.8420988741034,8.70434496084776,20.4725236372556,2.33923083430268,222,1997.33333333333,131.666666666667,1543,0.0570120269902122,0.512925079341575,0.0338119177641128,0.3962509759041
9,0.6,0.00211364245668447,0.0857126296847588,4.54510819962191,40.6636397061382,999.666666666667,20.6822532839372,8.64011318017384,20.632593514669,2.3531375542009,229.666666666667,1976,133,1549,0.0590755279644461,0.508274571951981,0.0342101871330474,0.398439712950526
15,0.6,0.00188979429454308,0.105889755648571,4.28136677675111,40.1504532880886,1000,19.6967620479574,8.16407919385701,20.7634878111965,2.36013118139279,204.333333333333,2002.33333333333,145.666666666667,1545.66666666667,0.0524103393422447,0.513702504145552,0.0373639819867808,0.396523174858756
25,0.6,0.00189638136798438,0.0693101989478986,4.54782139804627,39.887813496585,999.666666666667,20.1129890069996,8.37659726454707,20.8045889238331,2.3632430716336,209.666666666667,2007.66666666667,134.333333333333,1541.66666666667,0.053849678699942,0.515669671544634,0.0345029675729655,0.395977682515792
3,0.8,0.00253781636437961,0.103453322635059,4.38996406446181,40.143537645221,999.666666666667,25.5097107202541,10.6957988890534,20.8019983909352,2.37111368928074,268.333333333333,1939,128.666666666667,1547.33333333333,0.0690993286831276,0.499312557802623,0.0331315165060616,0.398456597008188
5,0.8,0.00161887796418879,0.0871652534132604,4.64859004200598,41.1509941724009,999.666666666667,21.2874165919614,8.80039112321025,21.0949005191795,2.37752904094293,160.333333333333,2032,136.666666666667,1560,0.0412240195130765,0.522515243766548,0.0351331280971317,0.401127608623243
7,0.8,0.00138747816056816,0.0698568932285061,4.56200574348097,41.7983889251069,999.333333333333,20.9957513083426,8.68681401124521,20.7269213853803,2.37697207136063,132.666666666667,2068,140,1539.33333333333,0.034188700431463,0.532993911661943,0.0360842530189879,0.396733134887606
9,0.8,0.00137863083284321,0.0608715267962578,4.72138911070391,42.5027734255971,999.666666666667,21.0992710371863,8.74749939039544,20.5163249712467,2.35676289936975,128.333333333333,2073.66666666667,140.333333333333,1538.33333333333,0.0330820551464488,0.534357236610398,0.036160449890197,0.396400258352956
15,0.8,0.00125125508087067,0.0490613616554811,4.62490138127738,40.999870709013,1000,20.1852901737709,8.34530100556256,20.7314678620118,2.35237973379537,122.666666666667,2061.66666666667,150.666666666667,1557,0.0315214224654995,0.529709669917268,0.0387088760528665,0.400060031564367
25,0.8,0.00127915204166047,0.0609758463567473,4.70751396264562,42.1901545666668,999.666666666667,19.7962077710417,8.15807642899749,20.5474095223406,2.34913828701879,122.666666666667,2072,141.333333333333,1553,0.0315411125694678,0.532787684694904,0.0363417751308854,0.399329427604742
